abseil-cpp 20260107.1-1
acl 2.3.2-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.4-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
aom 3.13.3-1
appstream 1.1.2-1
arch-install-scripts 31-1
archlinux-keyring 20260420-1
at-spi2-core 2.60.2-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bind 9.20.22-1
binutils 2.46-1
bison 3.8.2-8
bluez 5.86-5
bluez-libs 5.86-5
bluez-utils 5.86-5
boost-libs 1.91.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btrbk 0.32.6-2
btrfs-progs 6.19.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.123.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-2
cava 0.10.7-1
cmatrix 2.0-4
containerd 2.2.3-1
coreutils 9.11-1
cowsay 3.8.4-1
cryptsetup 2.8.6-1
curl 8.19.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
diffutils 3.12-2
discord 1:0.0.134-1
dnscrypt-proxy 2.1.15-1
dnssec-anchors 20250524-1
docker 1:29.4.1-1
docker-compose 5.1.3-1
dosfstools 4.2-5
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.2-1
e2fsprogs 1.47.4-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
electron40-bin 40.9.2-1
expat 2.7.5-1
eza 0.23.4-3
fakeroot 1.37.2-1
feh 3.12.1-1
ffcall 2.5-1
ffmpeg 2:8.1-3
fftw 3.3.11-1
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 150.0-1
fish 4.6.0-1
flac 1.5.0-1
