abseil-cpp 20260817.0-1
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
aom 3.14.1-1
appstream 1.1.6-1
arch-install-scripts 31-2
archlinux-keyring 20260727-1
asciiquarium 1.1-7
at-spi2-core 2.60.6-1
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bind 9.20.27-1
binutils 2.47-4
bison 3.8.2-8
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost-libs 1.92.0-1
breeze-icons 6.29.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btrbk 0.32.7-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.1-1
cava 0.10.7-1
cmatrix 2.0-4
containerd 2.3.4-1
coreutils 9.11-2
cowsay 3.8.4-1
cpio 2.15-3
cryptsetup 2.8.7-1
curl 8.21.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
discord 1:1.0.154-1
discount 3.0.1.3-1
djvulibre 3.5.30.1-1
dnscrypt-proxy 2.1.18-1
dnssec-anchors 20250524-1
docker 1:29.7.2-1
docker-compose 5.5.0-1
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.2-2
e2fsprogs 1.47.4-1
efibootmgr 18-4
efivar 39-2
electron41 41.10.6-1
elfutils 0.196-1
exiv2 0.28.8-2
expat 2.8.3-1
eza 0.23.5-2
fakeroot 1:1.37.2-3
feh 3.12.2-1
ffcall 2.5-1
ffmpeg 2:9.0.1-1
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
firefox 154.0-1
fish 4.8.1-1
flac 1.5.0-1
flex 2.6.4-6
fontconfig 2:2.18.3-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-6
fuse3 3.18.2-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
ghostscript 10.07.1-1
giflib 6.1.3-2
git 2.55.0-1
glew 2.3.1-1
glib-networking 1:2.80.1-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.357.0-1
glu 9.0.3-3
glycin 2.1.5-2
gmp 6.3.0-3
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
gotop-bin 4.2.0-1
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.15-1
grep 3.12-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1
gssdp 1.6.6-1
gst-plugins-bad-libs 1.28.6-1
gst-plugins-base-libs 1.28.6-1
gstreamer 1.28.6-1
gtest 1.17.0-2
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtkmm-4.0 4.22.0-2
guile 3.0.11-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvim 9.2.0849-1
gzip 1.14-2
harfbuzz 14.3.1-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
htop 3.5.3-1
hwdata 0.410-1
hwloc 2.14.0-1
i3-swallow-custom 1.0.0-1
i3-wm 4.25.1-1
i3lock-color 2.13.c.5-3
iana-etc 20260530-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.29-2
imlib2 1.12.6-2
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jack2 1.9.22-2
jansson 2.15.1-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk21-openjdk 21.0.12.1.u1-1
jemalloc 1:5.3.1-3
joystickwake 0.5.3-2
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.08.0-1
karchive 6.29.0-1
kbd 2.10.0-1
kbookmarks 6.29.0-1
kcmutils 6.29.0-1
kcodecs 6.29.0-1
kcolorscheme 6.29.0-1
kcompletion 6.29.0-1
kconfig 6.29.0-1
kconfigwidgets 6.29.0-1
kcoreaddons 6.29.0-1
kcrash 6.29.0-1
kdbusaddons 6.29.0-1
keyutils 1.6.3-4
kglobalaccel 6.29.0-1
kguiaddons 6.29.0-1
ki18n 6.29.0-1
kiconthemes 6.29.0-1
kio 6.29.0-1
kirigami 6.29.0-1
kitemmodels 6.29.0-1
kitemviews 6.29.0-1
kjobwidgets 6.29.0-1
kmod 34.2-1
knotifications 6.29.0-1
kparts 6.29.0-1
krb5 1.22.2-1
kservice 6.29.0-1
ktextwidgets 6.29.0-1
kwallet 6.29.0-1
kwidgetsaddons 6.29.0-1
kwindowsystem 6.29.0-1
kxmlgui 6.29.0-1
l-smash 2.14.5-4
lame 4.0-1
lcms2 2.19.1-1
leancrypto 1.8.0-1
less 1:704-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.3-1
lib32-fontconfig 2:2.18.3-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.196-1
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libnm 1.58.1-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.24.1-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.2-1
lib32-libxinerama 1.1.6-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.5-1
lib32-libxxf86vm 1.1.7-1
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.2.1-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nspr 4.40-1
lib32-nss 3.127-1
lib32-openssl 1:3.6.3-1
lib32-p11-kit 0.26.5-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.8-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-sqlite 3.53.4-1
lib32-systemd 261.2-1
lib32-util-linux 2.42.2-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-mesa-implicit-layers 1:26.2.1-1
lib32-vulkan-radeon 1:26.2.1-1
lib32-wayland 1.26.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.3-1
libappindicator 12.10.1-1
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.6.0-1
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libconfig 1.8.2-2
libcups 2:2.4.19-1
libcurl-gnutls 8.21.0-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.26-1
libdisplay-info 0.3.0-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libelf 0.196-1
