UNIT FILE	STATE	PRESET
bluetooth.service                            enabled         disabled
dnscrypt-proxy.service                       enabled         disabled
getty@.service                               enabled         enabled
NetworkManager-dispatcher.service            enabled         disabled
NetworkManager-wait-online.service           enabled         disabled
NetworkManager.service                       enabled         disabled
systemd-timesyncd.service                    enabled         enabled
ufw.service                                  enabled         disabled
docker.socket                                enabled         disabled
systemd-userdbd.socket                       enabled         enabled
remote-fs.target                             enabled         enabled
reflector.timer                              enabled         disabled
