UNIT FILE	STATE	PRESET
systemd-boot-clear-sysfail.service           disabled        enabled
systemd-boot-update.service                  disabled        enabled
systemd-confext.service                      disabled        enabled
systemd-homed-activate.service               disabled        enabled
systemd-homed.service                        disabled        enabled
systemd-pstore.service                       disabled        enabled
systemd-sysext.service                       disabled        enabled
systemd-tpm2-clear.service                   disabled        enabled
systemd-journald-audit.socket                disabled        enabled
systemd-mountfsd.socket                      disabled        enabled
systemd-nsresourced.socket                   disabled        enabled
systemd-userdbd.socket                       disabled        enabled
machines.target                              disabled        enabled
reboot.target                                disabled        enabled
remote-cryptsetup.target                     disabled        enabled
remote-integritysetup.target                 disabled        enabled
remote-veritysetup.target                    disabled        enabled
